zip_code,total_students,number_overweight,%overweight,number_obese,%obese,Num_farmersmarkets,#_of_retail_stores,Median,Mean,Pop
11102,,,,,,,,48399.4866,61244.8968,35943
11103,,,,,,,,52494.8702,66421.0536,44730
11104,,,,,,1,,50944.0617,61197.7955,29376
11105,,,,,,,,54570.0826,68394.8123,42375
11106,,,,,,2,,44030.5142,56437.4173,40963
11109,,,,,,,,117750,151032,843
11111,,,,,,,5,,,
11150,,,,,,,1,,,
11158,,,,,,,1,,,
11201,,,,,,2,1,92174.8101,140857.9804,48101
11203,,,,,,2,,47788.2901,60025.2785,78886
11204,,,,,,,,42763.549,58961.3319,74185
11205,,,,,,1,,42903.7942,57436.724,35648
11206,,,,,,2,,26439.5376,38579.5696,69454
11207,,,,,,2,,34729.0604,44634.0699,87324
11208,,,,,,2,,33875.818,44514.588,84692
11209,,,,,,1,,56906.5301,78504.7606,69646
11210,,,,,,,,55000.8962,69161.936,67349
11211,,,,,,3,,37632.4577,52060.9141,84434
11212,,,,,,5,,27911.2921,37845.6579,85400
11213,,,,,,1,,35084.8797,46614.3775,65932
11214,,,,,,1,,35963.5161,48902.3504,78896
11215,,,,,,4,,81331.0535,109383.9243,59307
11216,,,,,,2,,37290.3205,52038.2363,55021
11217,,,,,,1,,72610.5963,102949.5131,35641
11218,,,,,,1,,48010.6089,61311.5804,75418
11219,,,,,,1,,34969.9857,50736.5471,85825
11220,,,,,,1,,37030.1129,50270.5076,92398
11221,,,,,,2,,34005.1582,46669.9113,75020
11222,,,,,,2,,54366.9033,69808.6353,40003
11223,,,,,,,,39420.9802,53995.6663,74659
11224,,,,,,1,,34958.4279,45362.8356,49491
11225,,,,,,,,39782.409,52484.8359,61858
11226,,,,,,1,,38763.3706,49672.5306,106461
11228,,,,,,,,55200.2725,73658.3837,40169
11229,,,,,,,,49910.6032,63752.1411,80407
11230,,,,,,,,47496.1618,64348.0001,88449
11231,,,,,,1,,73074.9877,95031.0349,33174
11232,,,,,,,,34807.855,45833.5755,22177
11233,,,,,,1,,35422.5954,45326.9526,63541
11234,,,,,,,,67952.9473,77076.9976,81033
11235,,,,,,1,,44729.671,60543.4611,79197
11236,,,,,,,,59567.5509,69801.3086,94098
11237,,,,,,3,,35354.7791,43843.8726,48837
11238,,,,,,1,,61468.5107,79249.3305,49085
11239,,,,,,,,24882.1176,33974.7284,14621
11301,,,,,,,1,,,
11350,,,,,,,1,,,
11354,,,,,,,,50019.4132,63008.7787,54286
11355,,,,,,1,1,38623.9557,50392.9258,74434
11356,,,,,,,,67807.8323,80098.4197,20443
11357,,,,,,,1,74096.6311,89656.8591,39650
11358,,,,,,,,66312.1712,80188.7795,37044
11360,,,,,,,,72853.7515,92444.6694,18363
11361,,,,,,,2,70983.2093,84895.5484,28648
11362,,,,,,,,74826.6041,89962.6059,17509
11363,,,,,,,,92955.3212,118589.1132,6849
11364,,,,,,,,65776.5025,77366.7885,32272
11365,,,,,,1,,61097.32,73176.9635,37503
11366,,,,,,,,76377.4039,93826.2191,13795
11367,,,,,,,,53564.6755,67846.4708,39791
11368,,,,,,1,,43962.6552,54259.4037,95662
11369,,,,,,,,54732.4966,65142.6645,37429
11370,,,,,,,,37573.9334,49034.4878,28920
11372,,,,,,1,3,48149.0729,58610.2188,70946
11373,,,,,,1,,44301.174,56732.7671,99884
11374,,,,,,,,49707.9331,65129.5937,39224
11375,,,,,,1,,69446.0737,89704.2477,70142
11377,,,,,,,,49978.8076,60262.6681,87015
11378,,,,,,,,59362.7033,68915.0458,33487
11379,,,,,,,,61824.3232,76167.0077,33886
11385,,,,,,2,,47469.8714,57794.7135,95262
11411,,,,,,,,69131.5808,79342.336,17909
11412,,,,,,,,67395.5987,77263.7438,36433
11413,,,,,,,,77058.1467,84085.1138,39571
11414,,,,,,,,70964.8067,84305.5087,28120
11415,,,,,,,,55983.3512,70069.1331,19423
11416,,,,,,,,46712.5556,58913.822,21053
11417,,,,,,,,56102.9338,66183.1157,28748
11418,,,,,,,,57063.3834,66711.6469,36587
11419,,,,,,,,49705.3095,59641.8032,44065
11420,,,,,,,,55055.5659,66550.7443,41750
11421,,,,,,,,55093.7928,66525.3233,37664
11422,,,,,,,1,68822.9027,76688.5883,26308
11423,,,,,,,,64756.1233,79561.114,31575
11424,,,,,,,,61900,74277,467
11425,,,,,,,,70284,73553,26
11426,,,,,,,,74452.1944,87041.2389,17445
11427,,,,,,,,57224.3848,67493.9428,21275
11428,,,,,,,,71126.5564,85683.6821,20923
11429,,,,,,,,72714.1372,82272.7741,27816
11430,,,,,,,,50483.3,54620.468,197
11432,,,,,,2,,50291.2065,64694.3772,54915
11433,,,,,,,,41780.0631,54771.0096,28391
11434,,,,,,,,51640.5104,59039.1065,52603
11435,,,,,,,,44721.7965,52869.8387,47317
11436,,,,,,,,62297.1561,69595.4619,18291
11501,1740,314,18.0459770115,308,17.7011494253,,91,78422.7357,90983.3234,19466
11505,,,,,,,1,,,
11507,,,,,,,16,103383.8048,138519.3598,7526
11509,,,,,,,15,106773,149930,2852
11510,2645,482,18.2230623819,442,16.7107750473,1,74,99077.2476,110669.9613,32552
11514,963,148,15.3686396677,150,15.5763239875,,52,84511,93244,4904
11516,,,,,,,33,93264.1442,121947.0192,6997
11517,,,,,,,1,,,
11518,893,158,17.6931690929,176,19.7088465845,,33,89714.9155,104191.3025,11158
11520,4546,1053,23.1632204136,898,19.7536295645,1,126,68767.7975,86328.4455,44329
11526,,,,,,,1,,,
11530,2630,274,10.4182509506,324,12.319391635,1,149,127418.4493,187098.0636,26753
11542,1777,408,22.9600450197,290,16.3196398424,,105,77618.4334,102383.9992,27205
11545,,,,,,,45,152909.0299,228119.4806,12081
11547,,,,,,,1,114409.0368,141451.8388,644
11548,,,,,,,32,213520.235,316061.5786,2445
11549,,,,,,,5,,,
11550,3750,1250,33.3333333333,660,17.6,1,165,57385.252,69315.2553,58967
11552,1404,228,16.2393162393,248,17.6638176638,,66,93065.3843,110130.9488,23354
11553,4036,1192,29.5341922696,734,18.1863230922,,121,71092.8226,81498.6664,23540
11554,,,,,,,107,87598.167,98758.5002,37455
11555,,,,,,,2,,,
11556,,,,,,,2,73445,83012,13
11557,,,,,,,37,113487.1765,154468.6971,8053
11558,,,,,,,38,85182.7741,100774.4161,8553
11559,1043,162,15.5321188878,170,16.2991371045,,37,112232.7605,152353.0813,8100
11560,1358,190,13.9911634757,180,13.2547864507,1,35,102206.253,180639.7454,6812
11561,2646,296,11.186696901,464,17.5359032502,2,104,85039.0011,104803.6703,39648
11563,1666,170,10.2040816327,222,13.3253301321,,88,87861.1118,99384.3546,23227
11565,973,202,20.7605344296,190,19.5272353546,1,22,115184.1002,126075.8382,9088
11566,,,,,,1,108,120360.1727,136668.8701,35616
11568,5243,1271,24.2418462712,844,16.0976540149,,31,195603.5405,350580.239,3995
11569,,,,,,,16,112545,160280,1502
11570,2549,352,13.8093369949,372,14.5939584151,1,112,112071.3515,144505.8626,27303
11571,,,,,,,3,,,
11572,2578,385,14.9340574088,414,16.0589604344,,96,97595.5095,111622.8171,31236
11575,1834,468,25.5179934569,300,16.3576881134,1,30,67576.2876,79362.6506,15785
11576,1746,166,9.5074455899,232,13.2875143184,,47,156674.4419,235578.7314,12885
11577,,,,,,1,37,131919.3969,163808.7034,11274
11579,1735,174,10.0288184438,258,14.8703170029,,21,99100.8146,127226.8542,5148
11580,,,,,,,89,85371.6072,97785.7634,37887
11581,,,,,,,45,93231.165,104291.4815,20192
11582,,,,,,,3,,,
11590,3026,470,15.5320555188,534,17.6470588235,1,154,87976.935,101421.901,42593
11596,,,,,,,45,108681.7696,133563.4307,10492
11598,2364,358,15.1438240271,408,17.2588832487,,25,131334.806,180669.8672,13170
11599,,,,,,,1,,,
11691,,,,,,1,1,35645.3949,51204.389,54005
11692,,,,,,2,,42385.4913,53663.5965,15850
11693,,,,,,,,54873.713,65333.225,11120
11694,,,,,,,,75157.2154,89574.9242,19299
11696,,,,,,,7,,,
11697,,,,,,,,82290.534,101499.855,4206
11701,2122,538,25.3534401508,430,20.2639019793,,2,65926.6088,81012.3993,25654
11702,1016,140,13.7795275591,156,15.3543307087,1,,95476.7434,116529.4915,15125
11703,2916,564,19.341563786,478,16.3923182442,,,82421.4878,90997.3854,16656
11704,2506,480,19.1540303272,368,14.6847565842,,,79200.4947,87881.7357,40355
11705,1695,232,13.6873156342,274,16.1651917404,,,92356.3504,101900.85,8237
11706,,,,,,,,74856.0142,88722.1437,59946
11709,,,,,,,17,84099.8856,116288.948,7134
11710,,,,,,,99,107780.7397,121845.9456,34790
11713,,,,,,2,,77828.8708,93247.1668,8743
11714,2031,288,14.1802067947,330,16.2481536189,,64,87906.3964,107529.1483,22950
11715,,,,,,,,89807.9461,98329.3851,4591
11716,4881,758,15.5296045892,814,16.6769104692,,1,95943.5638,106568.4028,10434
11717,12075,3570,29.5652173913,2432,20.1407867495,,,70191.4625,79045.6549,51889
11718,,,,,,,,124722,140354,3248
11719,,,,,,,,82187.9178,92651.1214,3337
11720,6630,1206,18.1900452489,1200,18.0995475113,,,91188.5941,101569.4664,27633
11721,,,,,,,,102307.9962,128460.7884,6254
11722,3141,916,29.1626870423,598,19.0385227635,,,69656.7748,77956.6348,32268
11724,1454,96,6.6024759285,186,12.7922971114,,3,139282.8882,199745.642,3109
11725,,,,,,1,,107563.6292,124879.2474,29570
11726,3339,616,18.4486373166,760,22.7613057802,,,70309.6232,80679.6135,18376
11727,,,,,,,,79879.6073,93184.1332,26192
11729,2272,355,15.625,364,16.0211267606,1,,79371.2015,87394.7998,27852
11730,,,,,,,,91841.8339,126755.8812,14798
11731,5889,716,12.1582611649,928,15.7581932416,,2,100243.6692,115414.2429,30489
11732,,,,,,,20,118206.06,147944.4959,3539
11733,,,,,,,,125382.7043,153051.7043,17976
11735,3492,510,14.6048109966,542,15.5211912944,1,81,88756.7866,103542.6285,32358
11738,,,,,,,,82334.8983,93651.9049,17439
11739,,,,,,,,173438,183585,1256
11740,1975,184,9.3164556962,334,16.9113924051,,,92303.6733,115900.87,9227
11741,9139,1732,18.9517452675,1540,16.8508589561,,,95240.9587,102911.3085,28352
11742,,,,,,,,84777.36,97119.3823,11697
11743,,,,,,1,,119062.3294,162373.6335,41964
11746,2859,486,16.9989506821,456,15.9496327387,1,,105002.2718,128444.2792,63286
11747,,,,,,,1,108881.2321,146664.3986,16103
11749,,,,,,,,91497.1521,91445.3032,3047
11750,,,,,,,1,,,
11751,2142,416,19.421101774,378,17.6470588235,1,,90014.9996,99026.6857,15107
11752,2727,414,15.1815181518,398,14.5947928126,,1,87162.472,97839.0932,10013
11753,1962,200,10.1936799185,282,14.373088685,,39,142621.2829,185686.2407,11670
11754,2761,400,14.4875045273,442,16.0086925027,1,1,92734.6465,106377.8402,18983
11755,,,,,,,,90611.8227,106684.1597,11333
11756,1848,300,16.2337662338,318,17.2077922078,,72,91413.2547,103558.7113,44007
11757,3950,770,19.4936708861,702,17.7721518987,,1,83838.159,94303.7394,46552
11758,4668,536,11.4824335904,688,14.7386461011,,127,106935.2582,119730.7216,56207
11761,,,,,,,1,,,
11762,,,,,,,50,105851.8188,123073.3594,23056
11763,,,,,,,,86519.3463,91627.9198,24866
11764,1996,278,13.9278557114,292,14.629258517,,,111468.3215,126437.7774,11116
11765,,,,,,,2,131250,285080,567
11766,1627,196,12.0467117394,230,14.1364474493,,,112406.4745,130622.0732,9613
11767,,,,,,1,,107042.522,116834.2205,13725
11768,3673,408,11.1080860332,490,13.3405935203,,1,114683.2802,156116.1657,22039
11769,,,,,,,,85270.989,101549.3233,9727
11770,,,,,,,,62031,128906,161
11771,1040,121,11.6346153846,126,12.1153846154,,52,121983.7179,182848.2482,10076
11772,2874,510,17.745302714,474,16.4926931106,1,,66823.3895,75767.4713,42071
11776,2364,440,18.6125211506,416,17.5972927242,1,,82520.5252,97877.9482,22269
11777,580,49,8.4482758621,88,15.1724137931,,,101591.294,130958.1365,9054
11778,2079,300,14.43001443,294,14.1414141414,1,,78939.6079,86453.1315,11738
11779,8948,1576,17.6128743853,1572,17.5681716585,,,85987.2133,95607.9087,38425
11780,,,,,,,,104936.4529,130940.2505,15422
11782,1694,202,11.9244391972,264,15.5844155844,,,97017.5361,109006.864,15721
11783,1762,272,15.4370034052,340,19.2962542565,1,49,102422.3858,117033.0361,22063
11784,,,,,,,,73739.882,82513.1812,25049
11786,1860,206,11.0752688172,284,15.2688172043,,,112173.7014,122637.6585,5933
11787,5648,622,11.0127478754,756,13.3852691218,,,110137.062,130812.7102,34277
11788,2148,214,9.9627560521,306,14.2458100559,1,,97670.9687,113159.8663,16528
11789,,,,,,,,80796.8048,95044.8204,7345
11790,5355,522,9.7478991597,776,14.4911297852,,,108211.7182,121840.245,17609
11791,3509,274,7.808492448,514,14.6480478769,,90,136222.8328,181354.3802,24735
11792,,,,,,,2,104157.8256,111925.0836,7511
11793,2211,270,12.2116689281,354,16.0108548168,,102,105568.0258,121682.3493,32494
11794,,,,,,,,60167,51568,3200
11795,2923,312,10.6739651043,448,15.3267191242,,,99994.201,118972.4521,27089
11796,,,,,,,,88052.6108,97094.3109,3865
11797,,,,,,,43,139208.8073,190162.8044,9111
11798,1166,220,18.8679245283,182,15.6089193825,1,,67938.3496,75149.2911,14796
11801,2853,470,16.4738871363,380,13.3193130039,,144,86200.7507,103355.6569,39393
