zip_code,Median,Mean,Pop
12025,53759.855,74574.0366,5312
12027,75086.8658,82190.8703,3528
12028,55629.245,65791.0307,1307
12029,72991.8418,96504.147,1368
12032,50697.9785,61631.8964,956
12033,77276.4501,84714.9586,7828
12035,49932.014,64200.752,672
12036,44734.2985,52812.899,267
12037,61861.3428,91310.0734,3781
12040,57321,62944,84
12041,67785,103358,412
12042,49989.3666,63422.9514,285
12043,23043.3316,32418.8503,4619
12045,68165,73708,752
12046,67693.0239,73542.216,920
12047,47340.7802,57002.7084,18181
12051,40500.7372,48368.4219,5365
12052,65531.8367,72011.7119,1368
12053,72748.8253,79322.0545,4366
12054,89452.9888,105318.4037,15554
12056,76634.074,82681.9855,2171
12057,44286.1202,53605.0969,1842
12058,49232.8628,67619.9871,1397
12059,65996.1531,72010.0188,1703
12060,69241.1649,93021.3473,1391
12061,76605.7618,89233.5197,8223
12062,61042.2846,74444.0214,1736
12063,63234,75226,330
12064,43733.233,51378.422,530
12065,74934.7544,90235.036,38743
12066,57982.7379,69626.3493,2244
12067,69404.3384,99845.7812,1675
12068,50376.9444,61838.7621,3277
12069,53873,63263,245
12070,54988.242,68531.334,1477
12071,47545,55838,254
12072,54670.4,65606.47,2499
12074,67455.557,80517.469,2973
12075,51161.8032,75655.2956,3252
12076,51808.021,60349.2851,1378
12077,82111.5676,94696.4202,5982
12078,39631.5953,49695.8481,23612
12083,51357.2253,60077.9539,3419
12084,84843.9884,95623.7201,3956
12085,63219,79047,219
12086,58261.8293,69852.4666,1870
12087,57746.77,69936.4366,1025
12089,56188,61939,77
12090,49058.7886,60099.0548,6075
12092,46012.3954,61221.9874,1265
12093,47590.1371,54964.0551,1499
12094,56948.7051,71153.9384,2155
12095,46266.942,58283.6296,12776
12106,60179.5501,74511.4288,2263
12108,44048,69704,480
12110,74236.835,90547.01,20543
12115,75954,113441,221
12116,44214.159,53817.8886,1822
12117,45955.0147,54146.8779,3310
12118,58014.8054,68626.8425,11643
12120,61628.3313,66981.1043,616
12121,65702.1614,74543.4822,1903
12122,55065.4362,64134.2147,4396
12123,58220.7172,71482.3147,5168
12124,56094,69468,627
12125,59688,74234,1391
12130,75433,87645,976
12131,47545,55838,117
12132,75954,113441,388
12134,47133.5742,55274.5697,3709
12136,75934.3888,113265.6297,841
12137,69406.13,77047.2369,1750
12138,56465.5604,63572.3238,3180
12139,44048,69704,274
12140,78045,78198,1654
12143,57697.7096,66551.6353,5252
12144,59476.777,70710.4652,18277
12147,62737.6561,68070.9021,549
12148,99305.8858,107514.7513,3175
12149,44629.5595,52724.4593,2248
12150,56042,70548,759
12151,70492.9333,84490.6284,707
12153,67481.3472,76898.1214,763
12154,70630.4504,76250.393,2710
12155,41541.3125,49132.7827,1748
12156,78978.6818,87686.8948,827
12157,56295.0548,69473.2868,4041
12158,79793.9763,89751.3844,6043
12159,83622.2667,100973.1555,7267
12160,24429.0441,31409.9688,391
12161,90136,104261,132
12164,44048,69704,393
12165,66413,96306,156
12166,54269.8012,64961.5117,1421
12167,30899.1622,34595.8125,1481
12168,63717.855,71874.125,2002
12169,63107.3437,72566.6756,312
12170,66138.5916,76026.436,5183
12172,51250,61285,412
12173,52586.289,67604.174,1801
12174,53264,70809,358
12175,45878.3875,54086.3109,871
12176,43058.4764,53812.849,166
12177,52174.3992,62174.1624,488
12180,43270.1477,56553.696,52373
12182,34650.7807,42860.4467,9901
12183,51417,57344,2281
12184,72879.2313,90121.9124,7062
12185,57209.5046,71409.0987,2207
12186,75527.2281,96584.1589,6260
12187,44479.5377,54901.2952,646
12188,62861.9429,72914.11,10768
12189,51611.658,61486.1094,16593
12190,49231,63180,737
12192,54888.6236,67901.9397,1773
12193,64791.9768,71007.9744,2056
12194,47545,55838,161
12195,59688,74234,228
12196,73423.5187,85710.6577,2754
12197,44185.9579,52463.9427,2297
12198,69252.0072,79794.3203,7199
12202,30073.7523,40534.2229,9909
12203,52240.3287,65317.7229,33802
12204,52329.5086,74572.8138,6838
12205,62986.3322,78551.3691,28240
12206,29383.5724,39183.3005,16207
12207,21287.1,28874.3624,1985
12208,51134.3487,65533.5875,21154
12209,55024.2831,61516.225,9730
12210,30597.6157,43875.9712,9778
12211,75955.336,97673.5195,10791
12222,69271,77839,4
12302,70227.6915,77682.7877,26706
12303,63694.0012,71258.635,27443
